"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1292","test_logout_security_gate[chromium]","tests.sauce_demo","Tue Apr 21 16:57:39 UTC 2026","passed","Tue Apr 21 16:57:40 UTC 2026","","test_security","",""
"Verifies that Item Total + Tax exactly equals the final Total.","551","test_checkout_price_math_validation[chromium]","tests.sauce_demo","Tue Apr 21 16:57:37 UTC 2026","passed","Tue Apr 21 16:57:38 UTC 2026","","test_checkout_complete","",""
"Verifies that the system prevents checkout if fields are empty.","508","test_checkout_missing_info_error[chromium]","tests.sauce_demo","Tue Apr 21 16:57:37 UTC 2026","passed","Tue Apr 21 16:57:37 UTC 2026","","test_checkout_complete","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","8852","test_login_successful[chromium]","tests.orange_hrm","Tue Apr 21 16:57:40 UTC 2026","passed","Tue Apr 21 16:57:49 UTC 2026","","test_login","",""
"","298","test_valid_logins[chromium-1]","tests.sauce_demo","Tue Apr 21 16:57:40 UTC 2026","passed","Tue Apr 21 16:57:41 UTC 2026","","test_login","",""
"","386","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Tue Apr 21 16:57:57 UTC 2026","passed","Tue Apr 21 16:57:57 UTC 2026","","test_cart","",""
"","295","test_invalid_logins[chromium-0]","tests.sauce_demo","Tue Apr 21 16:57:39 UTC 2026","passed","Tue Apr 21 16:57:39 UTC 2026","","test_login","",""
"","5302","test_valid_logins[chromium-2]","tests.sauce_demo","Tue Apr 21 16:57:41 UTC 2026","passed","Tue Apr 21 16:57:46 UTC 2026","","test_login","",""
"","284","test_invalid_logins[chromium-1]","tests.sauce_demo","Tue Apr 21 16:57:41 UTC 2026","passed","Tue Apr 21 16:57:41 UTC 2026","","test_login","",""
"Verifies that we can access inventory via stored session.","245","test_verify_inventory_access[chromium]","tests.sauce_demo","Tue Apr 21 16:57:38 UTC 2026","passed","Tue Apr 21 16:57:38 UTC 2026","","test_inventory","",""
"Verifies a user can successfully buy an item from start to finish.","598","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Tue Apr 21 16:57:36 UTC 2026","passed","Tue Apr 21 16:57:37 UTC 2026","","test_checkout_complete","",""
"Checks the UI reaction to bad credentials.","6245","test_login_invalid_credentials[chromium]","tests.orange_hrm","Tue Apr 21 16:57:49 UTC 2026","passed","Tue Apr 21 16:57:55 UTC 2026","","test_login","",""
"","314","test_valid_logins[chromium-0]","tests.sauce_demo","Tue Apr 21 16:57:38 UTC 2026","passed","Tue Apr 21 16:57:39 UTC 2026","","test_login","",""
"","16509","test_add_new_employee[chromium]","tests.orange_hrm","Tue Apr 21 16:57:40 UTC 2026","passed","Tue Apr 21 16:57:56 UTC 2026","","test_pim","",""
